Amount,Currency Name,Purchase Date,Date Sold,Cost Basis,Proceeds
210.343937,ADA,04/11/2023,04/11/2023,0,85.96
209.615421,ADA,04/11/2023,04/11/2023,0,85.66
85.230474,iUSD,04/11/2023,04/11/2023,85.96,85.66
1000857195.5,SUNDAE/ADA LP,04/03/2022,04/13/2023,1149.36,179.52
1000857195.5,SUNDAE/ADA LP,04/03/2022,04/13/2023,1149.36,179.52
48001200.0,SUNDAE/ADA LP,02/05/2022,04/13/2023,113.86,8.61
48001200.0,SUNDAE/ADA LP,02/05/2022,04/13/2023,113.86,8.61
881307474.0,SUNDAE/ADA LP,03/24/2022,04/13/2023,1134.9,158.08
881307474.0,SUNDAE/ADA LP,03/24/2022,04/13/2023,1134.9,158.08
76190055.5,SUNDAE/ADA LP,02/17/2022,04/13/2023,143.88,13.67
76190055.5,SUNDAE/ADA LP,02/17/2022,04/13/2023,143.88,13.67
186847495.0,SUNDAE/ADA LP,02/13/2022,04/13/2023,322.59,33.51
186847495.0,SUNDAE/ADA LP,02/13/2022,04/13/2023,322.59,33.51
318360465.0,SUNDAE/ADA LP,02/15/2022,04/13/2023,574.69,57.1
318360465.0,SUNDAE/ADA LP,02/15/2022,04/13/2023,574.69,57.1
15279476.5,SUNDAE/ADA LP,02/14/2022,04/13/2023,26.29,2.74
15279476.5,SUNDAE/ADA LP,02/14/2022,04/13/2023,26.29,2.74
57739452.0,SUNDAE/ADA LP,02/18/2022,04/13/2023,103.99,10.36
57739452.0,SUNDAE/ADA LP,02/18/2022,04/13/2023,103.99,10.36
70181140.0,SUNDAE/ADA LP,02/20/2022,04/13/2023,117.4,12.59
70181140.0,SUNDAE/ADA LP,02/20/2022,04/13/2023,117.4,12.59
55968524.5,SUNDAE/ADA LP,02/19/2022,04/13/2023,98.88,10.04
55968524.5,SUNDAE/ADA LP,02/19/2022,04/13/2023,98.88,10.04
77881245.0,SUNDAE/ADA LP,02/19/2022,04/13/2023,139.2,13.97
77881245.0,SUNDAE/ADA LP,02/19/2022,04/13/2023,139.2,13.97
452837539.0,SUNDAE/ADA LP,02/19/2022,04/13/2023,757.34,81.22
452837539.0,SUNDAE/ADA LP,02/19/2022,04/13/2023,757.34,81.22
191135465.0,SUNDAE/ADA LP,02/19/2022,04/13/2023,319.49,34.28
191135465.0,SUNDAE/ADA LP,02/19/2022,04/13/2023,319.49,34.28
1689244331.5,SUNDAE/ADA LP,03/23/2022,04/13/2023,1961.1,303.0
1689244331.5,SUNDAE/ADA LP,03/23/2022,04/13/2023,1961.1,303.0
507914698.5,SUNDAE/ADA LP,03/02/2022,04/13/2023,663.67,91.1
507914698.5,SUNDAE/ADA LP,03/02/2022,04/13/2023,663.67,91.1
806614219.0,SUNDAE/ADA LP,03/02/2022,04/13/2023,1071.21,144.68
806614219.0,SUNDAE/ADA LP,03/02/2022,04/13/2023,1071.21,144.68
19680327.5,SUNDAE/ADA LP,02/21/2022,04/13/2023,31.0,3.53
19680327.5,SUNDAE/ADA LP,02/21/2022,04/13/2023,31.0,3.53
1654318816.5,SUNDAE/ADA LP,03/22/2022,04/13/2023,1863.57,296.73
1654318816.5,SUNDAE/ADA LP,03/22/2022,04/13/2023,1863.57,296.73
323419714.5,SUNDAE/ADA LP,02/26/2022,04/13/2023,448.04,58.01
323419714.5,SUNDAE/ADA LP,02/26/2022,04/13/2023,448.04,58.01
324714114.0,SUNDAE/ADA LP,02/24/2022,04/13/2023,432.01,58.24
